Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6473,0,3400.0,2716.925900432571,18.735300000116695,7680.893000000651,10499.0,5.3938761688457,0.0,3400,4000,4300,4400,5000,5400,5900,6200,6900,7700,7700
GET,/product/0PUK6V6EV0,3481,0,2700.0,2191.106805573129,18.016600000919425,6156.169099998806,7902.471128985923,2.900677111656401,0.0,2700,3200,3400,3600,4000,4400,4800,5100,5700,6200,6200
GET,/product/1YMWWN1N4O,3411,0,2700.0,2196.532978364113,17.36010000058741,6706.456699999762,7923.7508062151865,2.8423469198103946,0.0,2700,3200,3500,3600,4100,4400,4700,5000,5800,6700,6700
GET,/product/2ZYFJ3GM2N,3460,0,2700.0,2184.976915404615,17.880599998534308,6079.982600000221,7923.642774566474,2.883178054102599,0.0,2700,3200,3500,3600,4000,4300,4700,5100,5800,6100,6100
GET,/product/66VCHSJNUP,3429,0,2700.0,2197.7045832895824,17.992099999901257,6303.006500000265,7891.108194808982,2.8573461119993677,0.0,2700,3200,3400,3600,4100,4400,4700,5000,5700,6300,6300
GET,/product/6E92ZMYYFZ,3507,0,2700.0,2168.023436897625,17.72710000113875,6310.276000000158,7875.900199600798,2.9223426114849174,0.0,2700,3200,3400,3600,4100,4400,4700,5000,5900,6300,6300
GET,/product/9SIQT8TOJO,3500,0,2700.0,2198.99063805713,18.030600000201957,6160.449400000289,7928.960571428572,2.916509592300317,0.0,2700,3200,3500,3600,4100,4400,4800,5100,6000,6200,6200
GET,/product/L9ECAV7KIM,3503,0,2700.0,2202.2288912931904,17.610700000659563,6212.444299999333,7893.905224093634,2.9190094576651457,0.0,2700,3200,3400,3600,4100,4400,4800,5100,6000,6200,6200
GET,/product/LS4PSXUNUM,3583,0,2600.0,2164.5483372034682,17.309500000919797,7183.978100001696,7897.401897850963,2.9856725340605816,0.0,2600,3200,3400,3600,4100,4400,4800,5100,5800,7200,7200
GET,/product/OLJCESPC7Z,3431,0,2700.0,2188.9897192363733,17.155399998955545,6352.364899999884,7930.063829787234,2.8590126889092535,0.0,2700,3200,3400,3600,4100,4400,4800,5100,6000,6400,6400
,Aggregated,37778,0,2700.0,2278.6373266927876,17.155399998955545,7680.893000000651,8351.415929906294,31.479971250834677,0.0,2700,3300,3600,3700,4300,4600,5200,5500,6400,7200,7700
