Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,16699,0,1200.0,940.9600041559461,17.325299999356503,2374.8534999976982,10499.0,13.910192930642989,0.0,1200,1300,1400,1400,1500,1600,1700,1800,2100,2200,2400
GET,/product/0PUK6V6EV0,9162,0,910.0,751.2966024012047,17.088199998397613,2076.0824999997567,7936.637197118533,7.631905361431886,0.0,910,1000,1100,1100,1200,1300,1400,1500,1800,2100,2100
GET,/product/1YMWWN1N4O,9048,0,900.0,752.7264582670003,16.49639999959618,1988.9064000017243,7958.848032714412,7.53694386708532,0.0,900,1000,1100,1100,1200,1300,1400,1500,1700,2000,2000
GET,/product/2ZYFJ3GM2N,9180,1,900.0,747.0716321459454,16.847999999299645,2027.8932999972312,7954.623093681917,7.64689928159187,0.0008329955644435588,900,1000,1100,1100,1200,1300,1400,1500,1700,2000,2000
GET,/product/66VCHSJNUP,8924,0,910.0,748.9837096257548,16.185599997697864,1880.783500000689,7922.912931420888,7.433652417094319,0.0,910,1000,1100,1100,1200,1300,1400,1500,1700,1900,1900
GET,/product/6E92ZMYYFZ,9083,0,900.0,746.8665356600096,16.886800000065705,1909.2644000011205,7909.675878013872,7.566098711840844,0.0,900,1000,1100,1100,1200,1300,1400,1500,1700,1900,1900
GET,/product/9SIQT8TOJO,8958,0,910.0,749.1443855436731,16.780900001322152,1975.2932000010333,7961.027349854879,7.4619742662854,0.0,910,1000,1100,1100,1200,1300,1400,1500,1700,2000,2000
GET,/product/L9ECAV7KIM,9045,0,910.0,751.2051248424385,16.770599999290425,1915.2558999994653,7927.539082365948,7.534444880391989,0.0,910,1000,1100,1100,1200,1300,1400,1500,1700,1900,1900
GET,/product/LS4PSXUNUM,9123,0,900.0,751.431622306236,16.57369999884395,2016.6467999988527,7928.460703715883,7.599418534418587,0.0,900,1000,1100,1100,1200,1300,1400,1500,1700,2000,2000
GET,/product/OLJCESPC7Z,9050,0,900.0,744.0237568839583,16.828600000735605,1959.1607000002114,7961.18364640884,7.538609858214207,0.0,900,1000,1100,1100,1200,1300,1400,1500,1700,2000,2000
,Aggregated,98272,1,930.0,781.7810564168741,16.185599997697864,2374.8534999976982,8374.924312113319,81.86014010899741,0.0008329955644435588,930,1000,1100,1200,1300,1400,1500,1600,1900,2100,2400
