Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9210,6110,970.0,1511.2285567643894,1.2465999998312327,4901.444499999798,3549.845059717698,7.670402342519457,5.088616537762636,970,2800,2800,2800,2800,2800,3000,4600,4700,4900,4900
GET,/product/0PUK6V6EV0,5097,2788,820.0,1531.029750284475,1.2796000000889762,4814.447799999925,3603.8767902687855,4.244955563498553,2.321941556020005,820,2700,2800,2800,2800,4600,4700,4700,4800,4800,4800
GET,/product/1YMWWN1N4O,5127,2820,810.0,1546.4292757948135,1.3123999997333158,4901.536999999735,3588.693387946167,4.2699405874155545,2.34859224819814,810,2700,2800,2800,2800,4600,4700,4700,4900,4900,4900
GET,/product/2ZYFJ3GM2N,5116,2835,810.0,1530.3537281469921,1.3101999998070823,4867.692799999986,3555.750195465207,4.26077941197932,2.3610847601566407,810,2700,2800,2800,2800,4600,4700,4700,4800,4900,4900
GET,/product/66VCHSJNUP,4946,2729,810.0,1522.3775242822537,1.252799999747367,4908.287499999915,3558.592195713708,4.1191976097829786,2.2728043423165687,810,2700,2800,2800,2800,4600,4700,4700,4800,4900,4900
GET,/product/6E92ZMYYFZ,5094,2818,820.0,1539.7766313113489,1.2591999998221581,4909.717200000159,3542.244208873184,4.242457061106853,2.3469265799370067,820,2700,2800,2800,2800,4600,4700,4700,4800,4900,4900
GET,/product/9SIQT8TOJO,5039,2803,790.0,1527.9853243500716,1.2806999998247193,4913.437300000169,3540.612423099821,4.196651183925684,2.334434067978506,790,2700,2800,2800,2800,4600,4700,4700,4900,4900,4900
GET,/product/L9ECAV7KIM,4944,2686,790.0,1508.0142098098684,1.2578000000758038,4916.7968000001565,3626.89178802589,4.117531941521845,2.2369924747022,790,2700,2800,2800,2800,4600,4700,4700,4900,4900,4900
GET,/product/LS4PSXUNUM,4998,2774,820.0,1525.7060315926274,1.2769999998454296,4859.70640000005,3537.4613845538215,4.162504984572448,2.310281878192071,820,2700,2800,2800,2800,4600,4700,4700,4800,4900,4900
GET,/product/OLJCESPC7Z,5111,2863,830.0,1527.4150446683632,1.2754999997923733,4906.459799999993,3507.331246331442,4.256615241326487,2.384404115812509,830,2700,2800,2800,2800,4600,4700,4700,4800,4900,4900
,Aggregated,54682,31226,840.0,1525.9216003821878,1.2465999998312327,4916.7968000001565,3560.1691964448996,45.54103592764918,26.006078561076283,840,2800,2800,2800,2800,4600,4700,4700,4800,4900,4900
