Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775867467,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867468,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867469,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867470,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867471,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867472,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867473,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867474,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867475,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867476,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867477,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867478,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867479,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867480,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867481,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867482,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775867483,10,,Aggregated,0.000000,0.000000,140,180,190,210,220,220,220,220,220,220,220,21,0,140.0,121.97118571429027,21.16359999990891,216.15969999993467,8565.42857142857
1775867484,15,,Aggregated,0.000000,0.000000,220,270,360,370,500,500,590,590,590,590,590,42,0,210.0,228.02183809526036,21.16359999990891,587.175200000047,8686.833333333334
1775867485,20,,Aggregated,10.000000,0.000000,240,370,430,470,590,690,690,690,690,690,690,69,0,240.0,294.24087971015535,21.16359999990891,689.2914000000019,8732.68115942029
1775867486,25,,Aggregated,12.500000,0.000000,370,470,510,520,690,700,800,810,810,810,810,96,0,370.0,368.2077218750071,21.16359999990891,811.7595999999594,8725.864583333334
1775867487,30,,Aggregated,17.333333,0.000000,460,500,540,560,700,800,810,810,890,890,890,125,0,460.0,414.6304408000087,21.16359999990891,890.9300999998777,8711.496
1775867488,30,,Aggregated,19.500000,0.000000,480,550,640,690,800,820,900,980,990,990,990,153,0,480.0,472.00933006536684,21.16359999990891,994.7354999999334,8668.758169934641
1775867489,30,,Aggregated,22.000000,0.000000,530,660,740,800,890,990,1200,1200,1200,1200,1200,190,0,530.0,545.3908468421129,21.16359999990891,1178.3263999998326,8690.505263157895
1775867490,30,,Aggregated,22.333333,0.000000,550,650,730,770,830,980,1200,1200,1200,1200,1200,224,0,540.0,549.3080848214355,21.16359999990891,1178.3263999998326,8579.348214285714
1775867491,30,,Aggregated,23.714286,0.000000,590,690,770,800,890,1000,1200,1200,1300,1300,1300,256,0,570.0,582.6052917968802,21.16359999990891,1257.5839000000997,8537.3203125
1775867492,30,,Aggregated,25.625000,0.000000,630,700,770,800,870,990,1200,1200,1300,1300,1300,292,0,630.0,597.6179558219217,21.16359999990891,1257.5839000000997,8517.866438356165
1775867493,30,,Aggregated,27.222222,0.000000,640,730,780,800,900,1000,1200,1200,1300,1300,1300,326,0,640.0,616.771366871167,21.16359999990891,1257.5839000000997,8508.546012269939
1775867494,30,,Aggregated,28.300000,0.000000,640,730,790,810,900,1000,1200,1200,1300,1300,1300,355,0,640.0,626.8084478873278,21.16359999990891,1257.5839000000997,8526.428169014085
1775867495,30,,Aggregated,30.100000,0.000000,650,740,800,810,900,1000,1200,1200,1300,1300,1300,394,0,650.0,633.6318000000038,21.16359999990891,1257.5839000000997,8505.243654822336
1775867496,30,,Aggregated,31.600000,0.000000,650,740,790,810,900,1000,1100,1200,1300,1300,1300,434,0,640.0,636.3264845622141,21.16359999990891,1257.5839000000997,8507.476958525345
1775867497,30,,Aggregated,32.300000,0.000000,650,740,800,810,900,1000,1100,1200,1300,1300,1300,468,0,650.0,645.3180756410281,21.16359999990891,1257.5839000000997,8510.705128205129
1775867498,30,,Aggregated,33.700000,0.000000,660,750,800,820,900,1000,1100,1200,1300,1300,1300,499,0,660.0,653.8135965931896,21.16359999990891,1257.5839000000997,8507.182364729459
1775867499,30,,Aggregated,33.700000,0.000000,670,750,800,820,900,990,1100,1200,1300,1300,1300,533,0,670.0,658.219180112574,21.16359999990891,1257.5839000000997,8505.420262664165
1775867500,30,,Aggregated,34.200000,0.000000,680,770,810,830,900,990,1100,1200,1300,1300,1300,573,0,680.0,664.7305000000046,21.16359999990891,1257.5839000000997,8506.942408376963
1775867501,30,,Aggregated,34.500000,0.000000,680,760,800,820,900,990,1100,1200,1300,1300,1300,610,0,680.0,665.9789267213159,21.16359999990891,1257.5839000000997,8510.954098360657
1775867502,30,,Aggregated,33.700000,0.000000,680,750,800,820,900,990,1100,1200,1300,1300,1300,642,0,680.0,666.6761004672936,21.16359999990891,1257.5839000000997,8511.021806853583
1775867503,30,,Aggregated,33.400000,0.000000,680,750,800,820,900,990,1100,1200,1300,1300,1300,681,0,680.0,668.3884161527194,21.16359999990891,1257.5839000000997,8494.331864904552
1775867504,30,,Aggregated,32.900000,0.000000,670,740,800,820,900,980,1100,1200,1300,1300,1300,715,0,670.0,667.012283356646,21.16359999990891,1257.5839000000997,8486.49090909091
1775867505,30,,Aggregated,33.900000,0.000000,670,740,800,810,890,980,1100,1200,1300,1300,1300,749,0,670.0,666.9530397863856,21.16359999990891,1257.5839000000997,8491.955941255006
1775867506,30,,Aggregated,34.300000,0.000000,680,750,800,820,900,990,1100,1200,1300,1300,1300,777,0,680.0,673.5024499356537,21.16359999990891,1257.5839000000997,8495.68211068211
1775867507,30,,Aggregated,35.000000,0.000000,690,760,810,830,910,1000,1100,1200,1300,1300,1300,809,0,690.0,681.418883312735,21.16359999990891,1257.5839000000997,8512.341161928307
1775867508,30,,Aggregated,33.600000,0.000000,690,760,810,830,910,1000,1100,1200,1300,1300,1300,840,0,690.0,684.6283364285744,21.16359999990891,1257.5839000000997,8516.182142857142
1775867509,30,,Aggregated,33.500000,0.000000,690,760,800,830,910,1000,1100,1200,1300,1300,1300,875,0,690.0,684.0883276571457,21.16359999990891,1257.5839000000997,8520.140571428572
