Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775920319,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775920320,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775920321,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775920322,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775920323,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775920324,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775920325,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775920326,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775920327,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775920328,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775920329,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775920330,5,,Aggregated,0.000000,0.000000,120,120,120,120,120,120,120,120,120,120,120,5,0,116.66490000061458,115.56102000031387,113.8208999982453,116.66490000061458,10499.0
1775920331,10,,Aggregated,0.000000,0.000000,120,140,160,160,170,250,250,250,250,250,250,22,0,120.0,117.84164999963568,22.005899998475797,250.1738999999361,9006.772727272728
1775920332,15,,Aggregated,0.000000,0.000000,190,290,330,350,380,390,560,560,560,560,560,44,0,180.0,216.47242954565047,22.005899998475797,564.5294999994803,9004.15909090909
1775920333,20,,Aggregated,10.000000,0.000000,330,370,390,400,460,490,560,570,570,570,570,74,0,310.0,290.3405567568198,22.005899998475797,573.2190000053379,8923.756756756757
1775920334,25,,Aggregated,15.000000,0.000000,370,460,490,510,630,670,700,710,720,720,720,105,0,370.0,364.81288095272333,22.005899998475797,723.1184999982361,8879.619047619048
1775920335,30,,Aggregated,17.666667,0.000000,380,470,520,580,670,720,790,790,790,790,790,137,0,380.0,399.35294598553213,22.005899998475797,786.7272999937995,8865.978102189782
1775920336,30,,Aggregated,19.500000,0.000000,460,590,640,680,790,820,880,980,1100,1100,1100,173,0,460.0,470.70590635844724,22.005899998475797,1072.3197999977856,8795.543352601157
1775920337,30,,Aggregated,23.000000,0.000000,510,640,690,730,800,830,890,910,1100,1100,1100,205,0,510.0,509.2672995123061,22.005899998475797,1072.3197999977856,8714.307317073171
1775920338,30,,Aggregated,23.500000,0.000000,600,680,740,760,810,850,890,910,1100,1100,1100,245,0,600.0,544.5488534693734,22.005899998475797,1072.3197999977856,8660.632653061224
1775920339,30,,Aggregated,25.142857,0.000000,620,700,740,760,810,840,890,910,1100,1100,1100,278,0,620.0,563.1329683452324,22.005899998475797,1072.3197999977856,8632.28417266187
1775920340,30,,Aggregated,26.375000,0.000000,630,700,730,750,810,840,880,910,1100,1100,1100,307,0,630.0,574.101876547099,22.005899998475797,1072.3197999977856,8618.032573289902
1775920341,30,,Aggregated,27.444444,0.000000,640,700,740,760,810,860,890,910,1100,1100,1100,343,0,640.0,584.8194577258319,22.005899998475797,1072.3197999977856,8576.67638483965
1775920342,30,,Aggregated,28.200000,0.000000,640,710,740,760,810,850,890,910,1100,1100,1100,376,0,640.0,593.1788327126653,22.005899998475797,1072.3197999977856,8554.845744680852
1775920343,30,,Aggregated,31.200000,0.000000,640,710,740,770,820,860,890,910,1100,1100,1100,415,0,640.0,599.7340751805901,22.005899998475797,1072.3197999977856,8540.098795180724
1775920344,30,,Aggregated,33.200000,0.000000,650,720,750,790,830,880,910,1000,1100,1100,1100,456,0,650.0,613.0427975875998,22.005899998475797,1072.3197999977856,8509.660087719298
1775920345,30,,Aggregated,34.300000,0.000000,640,710,740,770,830,880,910,1000,1100,1100,1100,497,0,640.0,613.4933412474386,22.005899998475797,1072.3197999977856,8464.018108651911
1775920346,30,,Aggregated,34.600000,0.000000,640,700,740,770,820,870,910,1000,1100,1100,1100,530,0,640.0,615.0890192452281,22.005899998475797,1072.3197999977856,8465.971698113208
1775920347,30,,Aggregated,35.100000,0.000000,640,700,730,760,820,870,910,1000,1100,1100,1100,575,0,640.0,617.6858946086039,22.005899998475797,1085.4527999981656,8439.286956521739
1775920348,30,,Aggregated,35.600000,0.000000,640,700,730,750,820,860,910,1000,1100,1100,1100,598,0,640.0,617.2383463210074,22.005899998475797,1085.4527999981656,8442.202341137123
1775920349,30,,Aggregated,36.300000,0.000000,650,710,740,770,830,880,930,1000,1100,1100,1100,638,0,650.0,627.168876332196,22.005899998475797,1085.4527999981656,8438.349529780564
1775920350,30,,Aggregated,37.000000,0.000000,650,710,740,770,830,880,930,1000,1100,1100,1100,680,0,650.0,628.1989238234875,22.005899998475797,1085.4527999981656,8431.375
1775920351,30,,Aggregated,36.400000,0.000000,650,700,740,760,820,880,930,1000,1100,1100,1100,716,0,650.0,629.041239944153,22.005899998475797,1085.4527999981656,8406.872905027933
1775920352,30,,Aggregated,36.800000,0.000000,650,710,740,780,830,880,960,1000,1100,1100,1100,750,0,650.0,636.3041394666749,22.005899998475797,1097.2599999950035,8402.977333333334
1775920353,30,,Aggregated,35.800000,0.000000,650,720,750,790,840,900,1000,1100,1200,1200,1200,783,0,650.0,640.9281627075449,22.005899998475797,1202.2083999981987,8400.618135376755
1775920354,30,,Aggregated,35.400000,0.000000,660,720,750,790,840,900,980,1100,1200,1200,1200,817,0,660.0,645.2605269278072,22.005899998475797,1202.2083999981987,8398.423500611994
1775920356,30,,Aggregated,35.400000,0.000000,660,720,770,800,850,900,1000,1100,1200,1200,1200,847,0,660.0,651.0299317591706,22.005899998475797,1202.2083999981987,8416.049586776859
1775920357,30,,Aggregated,35.900000,0.000000,660,720,760,800,840,900,980,1100,1200,1200,1200,884,0,660.0,650.5584287330515,22.005899998475797,1202.2083999981987,8410.368778280543
1775920358,30,,Aggregated,35.100000,0.000000,660,720,770,800,850,910,980,1100,1200,1200,1200,917,0,660.0,654.573252453646,22.005899998475797,1202.2083999981987,8412.924754634678
1775920359,30,,Aggregated,35.000000,0.000000,670,730,770,800,860,910,970,1100,1200,1200,1200,954,0,670.0,657.7357508385621,22.005899998475797,1202.2083999981987,8424.125786163522
1775920360,30,,Aggregated,33.600000,0.000000,670,720,770,800,860,910,970,1100,1200,1200,1200,988,0,670.0,659.0035630566334,22.005899998475797,1202.2083999981987,8421.028340080971
1775920361,30,,Aggregated,34.300000,0.000000,670,730,780,800,860,910,960,1000,1100,1200,1200,1020,0,670.0,662.6470582352266,22.005899998475797,1202.2083999981987,8430.78137254902
1775920362,30,,Aggregated,33.500000,0.000000,680,730,780,800,860,910,970,1000,1100,1200,1200,1053,0,680.0,665.7076118707371,22.005899998475797,1202.2083999981987,8422.86799620133
1775920363,30,,Aggregated,33.500000,0.000000,680,740,790,810,870,910,980,1000,1100,1200,1200,1082,0,680.0,669.5332291126422,22.005899998475797,1202.2083999981987,8417.31515711645
1775920364,30,,Aggregated,33.600000,0.000000,680,740,780,800,860,910,980,1000,1100,1200,1200,1121,0,680.0,670.5586710971322,22.005899998475797,1202.2083999981987,8414.972346119535
1775920365,30,,Aggregated,33.200000,0.000000,690,740,780,800,860,910,980,1000,1100,1200,1200,1157,0,690.0,672.1723039756944,22.005899998475797,1202.2083999981987,8418.407087294729
1775920366,30,,Aggregated,33.500000,0.000000,680,730,780,800,860,910,980,1000,1100,1200,1200,1192,0,680.0,671.1515026844654,22.005899998475797,1202.2083999981987,8422.124161073825
1775920367,30,,Aggregated,33.500000,0.000000,680,730,780,800,860,910,980,1000,1100,1200,1200,1229,0,680.0,669.9196922700285,22.005899998475797,1202.2083999981987,8411.876322213182
1775920368,30,,Aggregated,34.200000,0.000000,680,730,780,800,860,910,980,1000,1100,1200,1200,1268,0,680.0,670.82353785477,22.005899998475797,1202.2083999981987,8401.988170347004
1775920369,30,,Aggregated,34.500000,0.000000,680,730,780,800,860,910,970,1000,1100,1200,1200,1307,0,680.0,670.8678785002813,22.005899998475797,1202.2083999981987,8404.104055087988
