Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,200,0,3000.0,2809.649468499866,157.54260000176146,5863.246299999446,10499.0,0.1666212072157396,0.0,3000,3500,3900,4100,4800,5000,5300,5400,5900,5900,5900
POST,/cart,13801,0,5700.0,4286.152098478368,32.93889999986277,10334.40469999914,25011.573726541556,11.497696403922111,0.0,5700,6500,6800,7000,7400,7700,8100,8300,9000,9900,10000
GET,/product/0PUK6V6EV0,1726,0,2500.0,1912.5815489571362,17.763399999239482,4689.298699999199,7990.1761297798375,1.4379410182718326,0.0,2500,2800,3000,3200,3500,3600,3900,4100,4700,4700,4700
GET,/product/1YMWWN1N4O,1785,0,2500.0,1895.342098039294,17.58960000006482,5029.9640000012005,8011.146218487395,1.4870942744004758,0.0,2500,2800,3000,3100,3400,3700,4000,4100,4900,5000,5000
GET,/product/2ZYFJ3GM2N,1699,0,2500.0,1957.239804414386,17.678000000159955,4756.588300002477,8012.515597410242,1.415447155297708,0.0,2500,2900,3100,3200,3500,3600,3900,4100,4700,4800,4800
GET,/product/66VCHSJNUP,1652,0,2500.0,1940.3560321428565,18.05919999969774,5725.117099998897,7978.276634382567,1.376291171602009,0.0,2500,2800,3000,3100,3400,3700,3900,4200,4700,5700,5700
GET,/product/6E92ZMYYFZ,1681,0,2500.0,1922.62825359903,17.689699998300057,4972.056099999463,7968.615704937537,1.4004512466482912,0.0,2500,2800,3100,3200,3500,3700,4000,4200,4800,5000,5000
GET,/product/9SIQT8TOJO,1699,0,2500.0,1918.310281695196,18.357100001594517,5281.434799999261,8020.041789287817,1.415447155297708,0.0,2500,2800,3000,3200,3400,3600,3900,4200,4800,5300,5300
GET,/product/L9ECAV7KIM,1759,0,2500.0,1933.358612791381,17.951799996808404,4782.332700000552,7980.451392836839,1.4654335174624298,0.0,2500,2800,3100,3200,3500,3700,4000,4200,4700,4800,4800
GET,/product/LS4PSXUNUM,1701,0,2500.0,1901.4945049970477,17.74210000075982,5504.483000000619,7981.627278071723,1.4171133673698653,0.0,2500,2800,3000,3200,3400,3600,3900,4100,4800,5500,5500
GET,/product/OLJCESPC7Z,1717,0,2600.0,1983.014831799651,17.718900002364535,5103.629299999739,8008.05066977286,1.4304430639471244,0.0,2600,2900,3100,3200,3500,3700,4000,4300,5000,5100,5100
,Aggregated,29420,0,2700.0,3040.837480560846,17.58960000006482,10334.40469999914,15994.3686267845,24.509979581435292,0.0,2700,3400,5300,6200,7000,7400,7800,8100,8800,9600,10000
