Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,200,0,2600.0,2702.3025900000903,208.32890000019688,5862.036299997271,10499.0,0.1666290636944457,0.0,2700,3500,3900,4000,4500,4800,5000,5100,5900,5900,5900
POST,/cart,24423,0,3000.0,2433.543369442737,26.472400000784546,10109.112099999038,25496.10248536216,20.347908113047236,0.0,3000,3300,3400,3500,3800,4300,5400,6200,8200,9200,10000
GET,/product/0PUK6V6EV0,3009,0,1100.0,1020.1347005649516,17.26509999934933,4614.291400001093,8003.058491193087,2.5069342632829357,0.0,1100,1300,1400,1500,1700,2100,3100,3600,4600,4600,4600
GET,/product/1YMWWN1N4O,2971,0,1100.0,1021.7390891955225,18.067600001813844,4971.018600001116,8023.126220127903,2.475274741180991,0.0,1100,1300,1400,1500,1700,2100,3000,3500,4900,5000,5000
GET,/product/2ZYFJ3GM2N,3000,0,1200.0,1039.2325458667099,18.187600002420368,4927.238600001147,8023.894666666667,2.4994359554166854,0.0,1200,1300,1400,1500,1700,2200,3300,3700,4600,4900,4900
GET,/product/66VCHSJNUP,2957,0,1100.0,1042.0940793033649,17.956699997739634,5379.8695000004955,7989.911058505242,2.46361070672238,0.0,1100,1300,1400,1500,1700,2200,3100,3500,4900,5400,5400
GET,/product/6E92ZMYYFZ,3019,0,1100.0,1035.037063464722,17.972400000871858,5233.065700002044,7978.851275256708,2.515265716467658,0.0,1100,1300,1400,1500,1800,2300,3300,3600,4800,5200,5200
GET,/product/9SIQT8TOJO,3005,0,1100.0,1038.6619281197939,18.188100002589636,4818.976100003056,8029.962063227953,2.5036016820090468,0.0,1100,1300,1400,1500,1700,2200,3100,3600,4600,4800,4800
GET,/product/L9ECAV7KIM,3056,0,1100.0,1037.5657500327109,17.67390000168234,5974.4337000011,7993.503599476439,2.54609209325113,0.0,1100,1300,1400,1500,1700,2200,3300,3700,4700,6000,6000
GET,/product/LS4PSXUNUM,3006,0,1100.0,1025.9161785761614,18.009999999776483,4985.006299997622,7994.109447771124,2.5044348273275188,0.0,1100,1300,1400,1500,1700,2100,3100,3600,4600,5000,5000
GET,/product/OLJCESPC7Z,2924,0,1100.0,1020.4220117989075,17.96180000019376,5180.00309999843,8024.4863201094395,2.436116911212796,0.0,1100,1300,1400,1500,1700,2100,3200,3600,4700,5200,5200
,Aggregated,51570,0,1400.0,1701.8345379871712,17.26509999934933,10109.112099999038,16299.148710490595,42.96530407361283,0.0,1400,2100,3000,3200,3500,3800,4500,5300,7500,9100,10000
