Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,16522,0,3900.0,3010.0498241920013,18.74830000451766,8466.333800002758,10498.998789492798,13.76889140245241,0.0,3900,4500,4800,4900,5400,5800,6300,6700,7600,8300,8500
GET,/product/0PUK6V6EV0,1868,0,2700.0,2164.9007188436276,17.805600000428967,6662.424699999974,7891.9138115631695,1.5567297627273393,0.0,2700,3100,3500,3600,4000,4400,4700,4900,6100,6700,6700
GET,/product/1YMWWN1N4O,1866,0,2700.0,2165.1264668812346,17.770499995094724,6205.150900001172,7911.202036441587,1.5550630285060039,0.0,2700,3200,3500,3600,4000,4400,4800,5100,5700,6200,6200
GET,/product/2ZYFJ3GM2N,1900,0,2800.0,2212.962757894703,18.048099998850375,6363.956600005622,7913.686842105263,1.583397510268707,0.0,2800,3200,3500,3600,4000,4300,4700,5000,6300,6400,6400
GET,/product/66VCHSJNUP,1875,0,2700.0,2184.967750613319,17.658099997788668,6032.01199999603,7880.701866666666,1.5625633325020136,0.0,2700,3200,3500,3600,4000,4400,4900,5100,5900,6000,6000
GET,/product/6E92ZMYYFZ,1868,0,2600.0,2134.0289647751606,17.927300003066193,6515.375000002678,7867.858137044968,1.5567297627273393,0.0,2600,3100,3400,3600,4000,4300,4800,5000,6100,6500,6500
GET,/product/9SIQT8TOJO,1940,0,2800.0,2215.7026452577884,17.378899996401742,6213.908099998662,7916.454639175257,1.6167321946954167,0.0,2800,3200,3500,3700,4000,4400,4800,5000,5800,6200,6200
GET,/product/L9ECAV7KIM,1818,0,2700.0,2178.7353952694425,17.76650000101654,7711.663699999917,7882.245874587459,1.5150614071939523,0.0,2700,3200,3500,3600,4000,4400,4900,5200,6800,7700,7700
GET,/product/LS4PSXUNUM,1851,0,2700.0,2196.9132309561846,17.699700001685414,7038.937199999054,7880.410048622366,1.5425625218459877,0.0,2700,3200,3500,3700,4000,4400,4800,5000,5700,7000,7000
GET,/product/OLJCESPC7Z,1891,0,2700.0,2168.5040364357706,17.200800000864547,6756.451100001868,7920.1808566895825,1.5758972062726975,0.0,2700,3200,3500,3600,4100,4400,4800,5100,6400,6800,6800
,Aggregated,33399,0,3000.0,2590.8124556932903,17.200800000864547,8466.333800002758,9183.804365400161,27.833628129191865,0.0,3000,3800,4200,4400,5000,5500,6000,6400,7500,8300,8500
