2026-04-13 17:20:53 | frontend | CPU: 5 % | RAM: 44 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-13 17:20:53 | productcatalogservice | CPU: 5 % | RAM: 44 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-13 17:20:58 | frontend | CPU: 5 % | RAM: 44 MB | RPS: 0.145 | ERROR: 0 | PODS: 1
2026-04-13 17:20:58 | productcatalogservice | CPU: 5 % | RAM: 44 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-13 17:21:03 | frontend | CPU: 5 % | RAM: 44 MB | RPS: 1.331 | ERROR: 0 | PODS: 1
2026-04-13 17:21:03 | productcatalogservice | CPU: 5 % | RAM: 44 MB | RPS: 7.280 | ERROR: 0 | PODS: 1
2026-04-13 17:21:09 | frontend | CPU: 33 % | RAM: 48 MB | RPS: 6.253 | ERROR: 0 | PODS: 1
2026-04-13 17:21:09 | productcatalogservice | CPU: 11 % | RAM: 44 MB | RPS: 18.655 | ERROR: 0 | PODS: 1
2026-04-13 17:21:14 | frontend | CPU: 33 % | RAM: 48 MB | RPS: 15.543 | ERROR: 0 | PODS: 1
2026-04-13 17:21:14 | productcatalogservice | CPU: 11 % | RAM: 44 MB | RPS: 46.499 | ERROR: 0 | PODS: 1
2026-04-13 17:21:19 | frontend | CPU: 33 % | RAM: 48 MB | RPS: 23.756 | ERROR: 0 | PODS: 1
2026-04-13 17:21:19 | productcatalogservice | CPU: 11 % | RAM: 44 MB | RPS: 67.522 | ERROR: 0 | PODS: 1
2026-04-13 17:21:25 | frontend | CPU: 211 % | RAM: 50 MB | RPS: 34.208 | ERROR: 0 | PODS: 1
2026-04-13 17:21:25 | productcatalogservice | CPU: 54 % | RAM: 44 MB | RPS: 92.776 | ERROR: 0 | PODS: 1
2026-04-13 17:21:30 | frontend | CPU: 211 % | RAM: 50 MB | RPS: 43.466 | ERROR: 0 | PODS: 1
2026-04-13 17:21:30 | productcatalogservice | CPU: 54 % | RAM: 44 MB | RPS: 117.517 | ERROR: 0 | PODS: 1
2026-04-13 17:21:35 | frontend | CPU: 211 % | RAM: 50 MB | RPS: 47.508 | ERROR: 0 | PODS: 1
2026-04-13 17:21:35 | productcatalogservice | CPU: 54 % | RAM: 44 MB | RPS: 125.140 | ERROR: 0 | PODS: 1
2026-04-13 17:21:41 | frontend | CPU: 202 % | RAM: 55 MB | RPS: 54.103 | ERROR: 0 | PODS: 1
2026-04-13 17:21:41 | productcatalogservice | CPU: 56 % | RAM: 44 MB | RPS: 136.875 | ERROR: 0 | PODS: 1
2026-04-13 17:21:46 | frontend | CPU: 202 % | RAM: 55 MB | RPS: 55.192 | ERROR: 0 | PODS: 1
2026-04-13 17:21:46 | productcatalogservice | CPU: 56 % | RAM: 44 MB | RPS: 145.656 | ERROR: 0 | PODS: 1
2026-04-13 17:21:51 | frontend | CPU: 235 % | RAM: 55 MB | RPS: 53.597 | ERROR: 0 | PODS: 2
2026-04-13 17:21:51 | productcatalogservice | CPU: 67 % | RAM: 44 MB | RPS: 142.712 | ERROR: 0 | PODS: 1
2026-04-13 17:21:57 | frontend | CPU: 235 % | RAM: 55 MB | RPS: 61.060 | ERROR: 0 | PODS: 2
2026-04-13 17:21:57 | productcatalogservice | CPU: 67 % | RAM: 44 MB | RPS: 162.373 | ERROR: 0 | PODS: 1
2026-04-13 17:22:02 | frontend | CPU: 235 % | RAM: 55 MB | RPS: 62.595 | ERROR: 0 | PODS: 2
2026-04-13 17:22:02 | productcatalogservice | CPU: 67 % | RAM: 44 MB | RPS: 167.858 | ERROR: 0 | PODS: 1
2026-04-13 17:22:08 | frontend | CPU: 211 % | RAM: 54 MB | RPS: 68.996 | ERROR: 0 | PODS: 2
2026-04-13 17:22:08 | productcatalogservice | CPU: 74 % | RAM: 46 MB | RPS: 178.609 | ERROR: 0 | PODS: 1
2026-04-13 17:22:13 | frontend | CPU: 211 % | RAM: 54 MB | RPS: 71.930 | ERROR: 0 | PODS: 2
