2026-04-13 16:31:01 | frontend | CPU: 5 % | RAM: 43 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-13 16:31:01 | productcatalogservice | CPU: 5 % | RAM: 48 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-13 16:31:06 | frontend | CPU: 5 % | RAM: 43 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-13 16:31:06 | productcatalogservice | CPU: 6 % | RAM: 48 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-13 16:31:12 | frontend | CPU: 5 % | RAM: 43 MB | RPS: 1.852 | ERROR: 0 | PODS: 1
2026-04-13 16:31:12 | productcatalogservice | CPU: 6 % | RAM: 48 MB | RPS: 4.889 | ERROR: 0 | PODS: 1
2026-04-13 16:31:17 | frontend | CPU: 21 % | RAM: 45 MB | RPS: 5.699 | ERROR: 0 | PODS: 1
2026-04-13 16:31:17 | productcatalogservice | CPU: 15 % | RAM: 49 MB | RPS: 20.114 | ERROR: 0 | PODS: 1
2026-04-13 16:31:23 | frontend | CPU: 21 % | RAM: 45 MB | RPS: 13.631 | ERROR: 0 | PODS: 1
2026-04-13 16:31:23 | productcatalogservice | CPU: 15 % | RAM: 49 MB | RPS: 39.015 | ERROR: 0 | PODS: 1
2026-04-13 16:31:28 | frontend | CPU: 21 % | RAM: 45 MB | RPS: 17.918 | ERROR: 0 | PODS: 1
2026-04-13 16:31:28 | productcatalogservice | CPU: 15 % | RAM: 49 MB | RPS: 51.230 | ERROR: 0 | PODS: 1
2026-04-13 16:31:33 | frontend | CPU: 158 % | RAM: 48 MB | RPS: 32.581 | ERROR: 0 | PODS: 1
2026-04-13 16:31:33 | productcatalogservice | CPU: 47 % | RAM: 49 MB | RPS: 83.886 | ERROR: 0 | PODS: 1
2026-04-13 16:31:39 | frontend | CPU: 158 % | RAM: 48 MB | RPS: 40.928 | ERROR: 0 | PODS: 1
2026-04-13 16:31:39 | productcatalogservice | CPU: 47 % | RAM: 49 MB | RPS: 112.611 | ERROR: 0 | PODS: 1
2026-04-13 16:31:44 | frontend | CPU: 208 % | RAM: 50 MB | RPS: 48.046 | ERROR: 0 | PODS: 1
2026-04-13 16:31:44 | productcatalogservice | CPU: 72 % | RAM: 49 MB | RPS: 127.557 | ERROR: 0 | PODS: 1
2026-04-13 16:31:49 | frontend | CPU: 208 % | RAM: 50 MB | RPS: 51.765 | ERROR: 0 | PODS: 1
2026-04-13 16:31:49 | productcatalogservice | CPU: 72 % | RAM: 49 MB | RPS: 133.489 | ERROR: 0 | PODS: 2
2026-04-13 16:31:55 | frontend | CPU: 208 % | RAM: 50 MB | RPS: 52.818 | ERROR: 0 | PODS: 1
2026-04-13 16:31:55 | productcatalogservice | CPU: 72 % | RAM: 49 MB | RPS: 136.417 | ERROR: 0 | PODS: 2
2026-04-13 16:32:00 | frontend | CPU: 51 % | RAM: 41 MB | RPS: 55.078 | ERROR: 0 | PODS: 1
2026-04-13 16:32:00 | productcatalogservice | CPU: 54 % | RAM: 49 MB | RPS: 143.986 | ERROR: 0 | PODS: 2
