2026-04-13 18:41:52 | frontend | CPU: 4 % | RAM: 45 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-13 18:41:52 | productcatalogservice | CPU: 4 % | RAM: 46 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-13 18:41:58 | frontend | CPU: 4 % | RAM: 45 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-13 18:41:58 | productcatalogservice | CPU: 4 % | RAM: 46 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-13 18:42:03 | frontend | CPU: 17 % | RAM: 48 MB | RPS: 2.670 | ERROR: 0 | PODS: 1
2026-04-13 18:42:03 | productcatalogservice | CPU: 6 % | RAM: 46 MB | RPS: 9.787 | ERROR: 0 | PODS: 1
2026-04-13 18:42:08 | frontend | CPU: 17 % | RAM: 48 MB | RPS: 8.783 | ERROR: 0 | PODS: 1
2026-04-13 18:42:08 | productcatalogservice | CPU: 6 % | RAM: 46 MB | RPS: 23.007 | ERROR: 0 | PODS: 1
2026-04-13 18:42:14 | frontend | CPU: 17 % | RAM: 48 MB | RPS: 15.355 | ERROR: 0 | PODS: 1
2026-04-13 18:42:14 | productcatalogservice | CPU: 6 % | RAM: 46 MB | RPS: 39.208 | ERROR: 0 | PODS: 1
2026-04-13 18:42:19 | frontend | CPU: 130 % | RAM: 51 MB | RPS: 23.536 | ERROR: 0 | PODS: 1
2026-04-13 18:42:19 | productcatalogservice | CPU: 24 % | RAM: 46 MB | RPS: 61.107 | ERROR: 0 | PODS: 1
2026-04-13 18:42:24 | frontend | CPU: 130 % | RAM: 51 MB | RPS: 33.158 | ERROR: 0 | PODS: 1
2026-04-13 18:42:24 | productcatalogservice | CPU: 24 % | RAM: 46 MB | RPS: 91.107 | ERROR: 0 | PODS: 1
2026-04-13 18:42:30 | frontend | CPU: 240 % | RAM: 55 MB | RPS: 43.896 | ERROR: 0 | PODS: 1
2026-04-13 18:42:30 | productcatalogservice | CPU: 58 % | RAM: 47 MB | RPS: 117.475 | ERROR: 0 | PODS: 1
2026-04-13 18:42:35 | frontend | CPU: 240 % | RAM: 55 MB | RPS: 49.163 | ERROR: 0 | PODS: 1
2026-04-13 18:42:35 | productcatalogservice | CPU: 58 % | RAM: 47 MB | RPS: 126.581 | ERROR: 0 | PODS: 1
2026-04-13 18:42:40 | frontend | CPU: 240 % | RAM: 55 MB | RPS: 51.787 | ERROR: 0 | PODS: 1
2026-04-13 18:42:40 | productcatalogservice | CPU: 58 % | RAM: 47 MB | RPS: 129.678 | ERROR: 0 | PODS: 1
2026-04-13 18:42:46 | frontend | CPU: 192 % | RAM: 58 MB | RPS: 54.220 | ERROR: 0 | PODS: 1
2026-04-13 18:42:46 | productcatalogservice | CPU: 53 % | RAM: 47 MB | RPS: 136.311 | ERROR: 0 | PODS: 1
2026-04-13 18:42:51 | frontend | CPU: 192 % | RAM: 58 MB | RPS: 55.029 | ERROR: 0 | PODS: 1
2026-04-13 18:42:51 | productcatalogservice | CPU: 53 % | RAM: 47 MB | RPS: 128.862 | ERROR: 0 | PODS: 1
2026-04-13 18:42:56 | frontend | CPU: 192 % | RAM: 58 MB | RPS: 52.841 | ERROR: 0 | PODS: 1
2026-04-13 18:42:56 | productcatalogservice | CPU: 53 % | RAM: 47 MB | RPS: 126.603 | ERROR: 0 | PODS: 1
2026-04-13 18:43:02 | frontend | CPU: 231 % | RAM: 60 MB | RPS: 55.392 | ERROR: 0 | PODS: 1
2026-04-13 18:43:02 | productcatalogservice | CPU: 64 % | RAM: 47 MB | RPS: 141.458 | ERROR: 0 | PODS: 1
2026-04-13 18:43:07 | frontend | CPU: 231 % | RAM: 60 MB | RPS: 55.373 | ERROR: 0 | PODS: 1
2026-04-13 18:43:07 | productcatalogservice | CPU: 64 % | RAM: 47 MB | RPS: 146.861 | ERROR: 0 | PODS: 1
2026-04-13 18:43:12 | frontend | CPU: 196 % | RAM: 60 MB | RPS: 54.890 | ERROR: 0 | PODS: 1
2026-04-13 18:43:12 | productcatalogservice | CPU: 61 % | RAM: 47 MB | RPS: 147.514 | ERROR: 0 | PODS: 1
2026-04-13 18:43:18 | frontend | CPU: 196 % | RAM: 60 MB | RPS: 54.882 | ERROR: 0 | PODS: 1
2026-04-13 18:43:18 | productcatalogservice | CPU: 61 % | RAM: 47 MB | RPS: 152.601 | ERROR: 0 | PODS: 1
2026-04-13 18:43:23 | frontend | CPU: 196 % | RAM: 60 MB | RPS: 55.275 | ERROR: 0 | PODS: 1
2026-04-13 18:43:23 | productcatalogservice | CPU: 61 % | RAM: 47 MB | RPS: 151.437 | ERROR: 0 | PODS: 1
2026-04-13 18:43:28 | frontend | CPU: 227 % | RAM: 61 MB | RPS: 55.667 | ERROR: 0 | PODS: 1
2026-04-13 18:43:28 | productcatalogservice | CPU: 62 % | RAM: 48 MB | RPS: 143.095 | ERROR: 0 | PODS: 1
2026-04-13 18:43:34 | frontend | CPU: 227 % | RAM: 61 MB | RPS: 55.197 | ERROR: 0 | PODS: 1
2026-04-13 18:43:34 | productcatalogservice | CPU: 62 % | RAM: 48 MB | RPS: 142.280 | ERROR: 0 | PODS: 1
2026-04-13 18:43:39 | frontend | CPU: 192 % | RAM: 61 MB | RPS: 55.010 | ERROR: 0 | PODS: 1
2026-04-13 18:43:39 | productcatalogservice | CPU: 53 % | RAM: 47 MB | RPS: 138.301 | ERROR: 0 | PODS: 1
2026-04-13 18:43:44 | frontend | CPU: 192 % | RAM: 61 MB | RPS: 55.164 | ERROR: 0 | PODS: 1
2026-04-13 18:43:44 | productcatalogservice | CPU: 53 % | RAM: 47 MB | RPS: 137.848 | ERROR: 0 | PODS: 1
2026-04-13 18:43:50 | frontend | CPU: 192 % | RAM: 61 MB | RPS: 55.640 | ERROR: 0 | PODS: 1
2026-04-13 18:43:50 | productcatalogservice | CPU: 53 % | RAM: 47 MB | RPS: 138.096 | ERROR: 0 | PODS: 1
2026-04-13 18:43:55 | frontend | CPU: 249 % | RAM: 61 MB | RPS: 55.899 | ERROR: 0 | PODS: 1
