Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776075647,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776075648,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776075649,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776075650,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776075651,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776075652,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776075653,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776075654,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776075655,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776075656,2,,Aggregated,0.000000,0.000000,320,320,320,320,320,320,320,320,320,320,320,2,0,323.64390000293497,324.1853000035917,323.64390000293497,324.7267000042484,9238.0
1776075657,4,,Aggregated,0.000000,0.000000,320,320,320,320,320,320,320,320,320,320,320,4,0,61,189.54877500254952,48.470900001120754,324.7267000042484,9236.0
1776075658,6,,Aggregated,0.000000,0.000000,58,61,110,320,320,320,320,320,320,320,320,10,0,52,111.0513900006481,37.43609999946784,324.7267000042484,8984.4
1776075659,8,,Aggregated,2.000000,0.000000,50,56,58,61,320,320,320,320,320,320,320,17,1,50,81.14237647019121,11.827599999378435,324.7267000042484,9223.058823529413
1776075660,10,,Aggregated,2.333333,0.000000,50,58,61,61,110,320,320,320,320,320,320,23,2,50,72.41581739103624,4.408399996464141,324.7267000042484,9271.347826086956
1776075661,12,,Aggregated,3.000000,0.250000,48,56,61,61,110,320,320,320,320,320,320,32,3,46,66.59365312452792,4.408399996464141,324.7267000042484,9255.59375
1776075662,14,,Aggregated,3.800000,0.200000,48,56,61,73,100,140,320,320,320,320,320,42,4,48,64.18929285653229,4.318400002375711,324.7267000042484,9274.857142857143
1776075663,16,,Aggregated,4.166667,0.333333,46,55,70,80,110,160,320,320,320,320,320,56,5,44,62.61656249937784,4.318400002375711,324.7267000042484,9148.80357142857
1776075664,18,,Aggregated,5.142857,0.428571,43,55,70,75,100,160,320,320,320,320,320,66,7,42,59.73715757522079,4.318400002375711,324.7267000042484,9039.651515151516
1776075665,20,,Aggregated,5.750000,0.500000,42,55,70,84,100,140,320,320,320,320,320,81,7,42,58.866948147579585,4.318400002375711,324.7267000042484,9092.888888888889
1776075666,22,,Aggregated,6.444444,0.555556,43,60,80,91,140,160,320,320,320,320,320,97,9,43,63.06520824683062,4.318400002375711,324.7267000042484,9086.185567010309
1776075667,24,,Aggregated,7.000000,0.700000,41,58,84,91,140,200,210,320,320,320,320,111,10,41,63.53219008943179,4.318400002375711,324.7267000042484,9024.063063063064
1776075668,26,,Aggregated,8.300000,0.800000,48,80,100,140,220,310,350,360,360,360,360,130,12,46,85.34603076875031,4.318400002375711,361.36049999913666,9061.461538461539
1776075669,28,,Aggregated,9.600000,1.000000,50,91,120,150,220,300,350,360,360,360,360,148,14,49,90.0276222969665,3.8857000035932288,361.36049999913666,9028.554054054053
1776075670,30,,Aggregated,10.600000,1.100000,53,100,140,160,230,300,320,360,360,360,360,168,18,52,94.97064166632862,3.8857000035932288,361.36049999913666,8973.083333333334
1776075671,32,,Aggregated,11.800000,1.100000,63,110,160,210,270,310,350,360,410,410,410,189,19,63,108.60413756595263,3.8857000035932288,406.24989999923855,8988.57142857143
1776075672,34,,Aggregated,13.300000,1.500000,70,130,200,210,280,320,390,440,450,450,450,206,21,70,116.23716747557921,3.8857000035932288,450.84309999947436,9000.781553398057
1776075673,36,,Aggregated,14.500000,1.600000,66,120,190,210,290,330,410,440,540,540,540,230,25,64,115.45642869564092,3.8857000035932288,540.2256000015768,8933.85652173913
1776075674,38,,Aggregated,15.500000,1.600000,75,140,210,230,300,350,440,450,540,540,540,248,27,73,125.19968427413035,3.8857000035932288,540.2256000015768,8903.262096774193
1776075675,40,,Aggregated,16.700000,2.000000,87,180,230,270,350,510,610,690,750,750,750,270,31,87,150.76362037030373,3.8857000035932288,749.4077000010293,8897.851851851852
