2026-04-14 19:16:21 | frontend | CPU: 5 % | RAM: 45 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-14 19:16:21 | productcatalogservice | CPU: 6 % | RAM: 51 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-14 19:16:26 | frontend | CPU: 5 % | RAM: 45 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-14 19:16:26 | productcatalogservice | CPU: 4 % | RAM: 51 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-14 19:16:31 | frontend | CPU: 5 % | RAM: 45 MB | RPS: 3.616 | ERROR: 0 | PODS: 1
2026-04-14 19:16:31 | productcatalogservice | CPU: 4 % | RAM: 51 MB | RPS: 60.526 | ERROR: 0 | PODS: 1
2026-04-14 19:16:37 | frontend | CPU: 5 % | RAM: 45 MB | RPS: 22.231 | ERROR: 0 | PODS: 1
2026-04-14 19:16:37 | productcatalogservice | CPU: 4 % | RAM: 51 MB | RPS: 131.221 | ERROR: 0 | PODS: 1
2026-04-14 19:16:42 | frontend | CPU: 147 % | RAM: 57 MB | RPS: 38.836 | ERROR: 0.0038 | PODS: 1
2026-04-14 19:16:42 | productcatalogservice | CPU: 17 % | RAM: 46 MB | RPS: 205.687 | ERROR: 0 | PODS: 1
2026-04-14 19:16:47 | frontend | CPU: 147 % | RAM: 57 MB | RPS: 50.972 | ERROR: 0.0029 | PODS: 1
2026-04-14 19:16:47 | productcatalogservice | CPU: 17 % | RAM: 46 MB | RPS: 273.629 | ERROR: 0 | PODS: 1
2026-04-14 19:16:53 | frontend | CPU: 211 % | RAM: 58 MB | RPS: 62.832 | ERROR: 0.0023 | PODS: 1
2026-04-14 19:16:53 | productcatalogservice | CPU: 97 % | RAM: 49 MB | RPS: 345.406 | ERROR: 0 | PODS: 1
2026-04-14 19:16:58 | frontend | CPU: 211 % | RAM: 58 MB | RPS: 71.652 | ERROR: 0.0024 | PODS: 1
2026-04-14 19:16:58 | productcatalogservice | CPU: 97 % | RAM: 49 MB | RPS: 392.181 | ERROR: 0 | PODS: 1
2026-04-14 19:17:04 | frontend | CPU: 211 % | RAM: 58 MB | RPS: 72.590 | ERROR: 0 | PODS: 1
2026-04-14 19:17:04 | productcatalogservice | CPU: 97 % | RAM: 49 MB | RPS: 402.070 | ERROR: 0 | PODS: 1
2026-04-14 19:17:09 | frontend | CPU: 5 % | RAM: 41 MB | RPS: 72.985 | ERROR: 0 | PODS: 2
2026-04-14 19:17:09 | productcatalogservice | CPU: 105 % | RAM: 49 MB | RPS: 414.156 | ERROR: 0 | PODS: 1
2026-04-14 19:17:14 | frontend | CPU: 5 % | RAM: 41 MB | RPS: 87.213 | ERROR: 0 | PODS: 2
2026-04-14 19:17:14 | productcatalogservice | CPU: 105 % | RAM: 49 MB | RPS: 466.623 | ERROR: 0 | PODS: 1
2026-04-14 19:17:20 | frontend | CPU: 67 % | RAM: 45 MB | RPS: 95.496 | ERROR: 0 | PODS: 2
2026-04-14 19:17:20 | productcatalogservice | CPU: 141 % | RAM: 51 MB | RPS: 546.252 | ERROR: 0 | PODS: 1
2026-04-14 19:17:25 | frontend | CPU: 67 % | RAM: 45 MB | RPS: 102.775 | ERROR: 0 | PODS: 2
2026-04-14 19:17:25 | productcatalogservice | CPU: 141 % | RAM: 51 MB | RPS: 584.559 | ERROR: 0 | PODS: 1
2026-04-14 19:17:30 | frontend | CPU: 67 % | RAM: 45 MB | RPS: 114.332 | ERROR: 0 | PODS: 2
2026-04-14 19:17:30 | productcatalogservice | CPU: 141 % | RAM: 51 MB | RPS: 632.228 | ERROR: 0 | PODS: 1
2026-04-14 19:17:36 | frontend | CPU: 30 % | RAM: 40 MB | RPS: 116.423 | ERROR: 0 | PODS: 3
2026-04-14 19:17:36 | productcatalogservice | CPU: 185 % | RAM: 51 MB | RPS: 648.478 | ERROR: 0 | PODS: 2
2026-04-14 19:17:41 | frontend | CPU: 30 % | RAM: 40 MB | RPS: 122.456 | ERROR: 0 | PODS: 3
2026-04-14 19:17:41 | productcatalogservice | CPU: 185 % | RAM: 51 MB | RPS: 672.025 | ERROR: 0 | PODS: 2
2026-04-14 19:17:47 | frontend | CPU: 182 % | RAM: 48 MB | RPS: 128.746 | ERROR: 0 | PODS: 3
2026-04-14 19:17:47 | productcatalogservice | CPU: 208 % | RAM: 51 MB | RPS: 721.239 | ERROR: 0 | PODS: 2
2026-04-14 19:17:52 | frontend | CPU: 182 % | RAM: 48 MB | RPS: 133.625 | ERROR: 0 | PODS: 3
2026-04-14 19:17:52 | productcatalogservice | CPU: 208 % | RAM: 51 MB | RPS: 745.520 | ERROR: 0 | PODS: 2
2026-04-14 19:17:58 | frontend | CPU: 182 % | RAM: 48 MB | RPS: 141.299 | ERROR: 0 | PODS: 3
2026-04-14 19:17:58 | productcatalogservice | CPU: 208 % | RAM: 51 MB | RPS: 757.636 | ERROR: 0 | PODS: 2
2026-04-14 19:18:03 | frontend | CPU: 6 % | RAM: 41 MB | RPS: 146.025 | ERROR: 0 | PODS: 5
2026-04-14 19:18:03 | productcatalogservice | CPU: 192 % | RAM: 51 MB | RPS: 821.520 | ERROR: 0 | PODS: 2
2026-04-14 19:18:08 | frontend | CPU: 6 % | RAM: 41 MB | RPS: 146.836 | ERROR: 0 | PODS: 5
2026-04-14 19:18:08 | productcatalogservice | CPU: 192 % | RAM: 51 MB | RPS: 848.587 | ERROR: 0 | PODS: 2
2026-04-14 19:18:14 | frontend | CPU: 108 % | RAM: 43 MB | RPS: 164.526 | ERROR: 0 | PODS: 5
2026-04-14 19:18:14 | productcatalogservice | CPU: 190 % | RAM: 52 MB | RPS: 930.764 | ERROR: 0 | PODS: 2
2026-04-14 19:18:19 | frontend | CPU: 108 % | RAM: 43 MB | RPS: 177.063 | ERROR: 0 | PODS: 5
