2026-04-15 15:10:36 | frontend | CPU: 6 % | RAM: 43 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-15 15:10:36 | productcatalogservice | CPU: 7 % | RAM: 43 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-15 15:10:41 | frontend | CPU: 6 % | RAM: 43 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-15 15:10:41 | productcatalogservice | CPU: 7 % | RAM: 43 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-15 15:10:46 | frontend | CPU: 6 % | RAM: 43 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-15 15:10:46 | productcatalogservice | CPU: 7 % | RAM: 43 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-15 15:10:52 | frontend | CPU: 63 % | RAM: 49 MB | RPS: 9.243 | ERROR: 0 | PODS: 1
2026-04-15 15:10:52 | productcatalogservice | CPU: 33 % | RAM: 44 MB | RPS: 45.802 | ERROR: 0 | PODS: 1
2026-04-15 15:10:57 | frontend | CPU: 63 % | RAM: 49 MB | RPS: 30.257 | ERROR: 0 | PODS: 1
2026-04-15 15:10:57 | productcatalogservice | CPU: 33 % | RAM: 44 MB | RPS: 164.982 | ERROR: 0 | PODS: 1
2026-04-15 15:11:03 | frontend | CPU: 63 % | RAM: 49 MB | RPS: 38.310 | ERROR: 0 | PODS: 1
2026-04-15 15:11:03 | productcatalogservice | CPU: 33 % | RAM: 44 MB | RPS: 223.633 | ERROR: 0 | PODS: 1
2026-04-15 15:11:08 | frontend | CPU: 166 % | RAM: 54 MB | RPS: 61.100 | ERROR: 0 | PODS: 1
2026-04-15 15:11:08 | productcatalogservice | CPU: 79 % | RAM: 45 MB | RPS: 315.351 | ERROR: 0 | PODS: 1
2026-04-15 15:11:13 | frontend | CPU: 166 % | RAM: 54 MB | RPS: 71.159 | ERROR: 0 | PODS: 1
