2026-04-14 20:04:57 | frontend | CPU: 7 % | RAM: 62 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-14 20:04:57 | productcatalogservice | CPU: 7 % | RAM: 61 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-14 20:05:02 | frontend | CPU: 7 % | RAM: 62 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-14 20:05:02 | productcatalogservice | CPU: 7 % | RAM: 61 MB | RPS: 0 | ERROR: 0 | PODS: 1
2026-04-14 20:05:08 | frontend | CPU: 20 % | RAM: 64 MB | RPS: 7.366 | ERROR: 0 | PODS: 1
2026-04-14 20:05:08 | productcatalogservice | CPU: 10 % | RAM: 61 MB | RPS: 54.189 | ERROR: 0 | PODS: 1
2026-04-14 20:05:13 | frontend | CPU: 20 % | RAM: 64 MB | RPS: 29.379 | ERROR: 0 | PODS: 1
2026-04-14 20:05:13 | productcatalogservice | CPU: 10 % | RAM: 61 MB | RPS: 140.818 | ERROR: 0 | PODS: 1
2026-04-14 20:05:18 | frontend | CPU: 172 % | RAM: 70 MB | RPS: 41.181 | ERROR: 0.0074 | PODS: 1
2026-04-14 20:05:18 | productcatalogservice | CPU: 26 % | RAM: 61 MB | RPS: 209.326 | ERROR: 0 | PODS: 1
2026-04-14 20:05:24 | frontend | CPU: 172 % | RAM: 70 MB | RPS: 52.983 | ERROR: 0.0057 | PODS: 1
2026-04-14 20:05:24 | productcatalogservice | CPU: 26 % | RAM: 61 MB | RPS: 311.033 | ERROR: 0 | PODS: 1
2026-04-14 20:05:29 | frontend | CPU: 172 % | RAM: 70 MB | RPS: 65.003 | ERROR: 0.0047 | PODS: 1
2026-04-14 20:05:29 | productcatalogservice | CPU: 26 % | RAM: 61 MB | RPS: 346.562 | ERROR: 0 | PODS: 1
2026-04-14 20:05:34 | frontend | CPU: 231 % | RAM: 69 MB | RPS: 73.937 | ERROR: 0.0047 | PODS: 1
2026-04-14 20:05:34 | productcatalogservice | CPU: 91 % | RAM: 61 MB | RPS: 407.751 | ERROR: 0 | PODS: 1
2026-04-14 20:05:40 | frontend | CPU: 231 % | RAM: 69 MB | RPS: 74.206 | ERROR: 0.0041 | PODS: 1
2026-04-14 20:05:40 | productcatalogservice | CPU: 91 % | RAM: 61 MB | RPS: 423.637 | ERROR: 0 | PODS: 1
2026-04-14 20:05:45 | frontend | CPU: 262 % | RAM: 70 MB | RPS: 73.039 | ERROR: 0 | PODS: 1
2026-04-14 20:05:45 | productcatalogservice | CPU: 114 % | RAM: 60 MB | RPS: 417.057 | ERROR: 0 | PODS: 1
2026-04-14 20:05:50 | frontend | CPU: 262 % | RAM: 70 MB | RPS: 72.965 | ERROR: 0 | PODS: 1
2026-04-14 20:05:50 | productcatalogservice | CPU: 114 % | RAM: 60 MB | RPS: 415.150 | ERROR: 0 | PODS: 1
2026-04-14 20:05:56 | frontend | CPU: 262 % | RAM: 70 MB | RPS: 72.168 | ERROR: 0 | PODS: 1
2026-04-14 20:05:56 | productcatalogservice | CPU: 114 % | RAM: 60 MB | RPS: 396.152 | ERROR: 0 | PODS: 1
2026-04-14 20:06:01 | frontend | CPU: 223 % | RAM: 70 MB | RPS: 72.572 | ERROR: 0 | PODS: 1
2026-04-14 20:06:01 | productcatalogservice | CPU: 95 % | RAM: 60 MB | RPS: 405.805 | ERROR: 0 | PODS: 1
2026-04-14 20:06:06 | frontend | CPU: 223 % | RAM: 70 MB | RPS: 73.359 | ERROR: 0 | PODS: 1
2026-04-14 20:06:06 | productcatalogservice | CPU: 95 % | RAM: 60 MB | RPS: 404.266 | ERROR: 0 | PODS: 1
2026-04-14 20:06:12 | frontend | CPU: 223 % | RAM: 70 MB | RPS: 72.290 | ERROR: 0 | PODS: 1
2026-04-14 20:06:12 | productcatalogservice | CPU: 95 % | RAM: 60 MB | RPS: 400.143 | ERROR: 0 | PODS: 1
2026-04-14 20:06:17 | frontend | CPU: 237 % | RAM: 70 MB | RPS: 68.864 | ERROR: 0.0008 | PODS: 1
2026-04-14 20:06:17 | productcatalogservice | CPU: 108 % | RAM: 60 MB | RPS: 394.953 | ERROR: 0 | PODS: 1
2026-04-14 20:06:22 | frontend | CPU: 237 % | RAM: 70 MB | RPS: 72.529 | ERROR: 0.0015 | PODS: 1
2026-04-14 20:06:22 | productcatalogservice | CPU: 108 % | RAM: 60 MB | RPS: 404.549 | ERROR: 0 | PODS: 1
2026-04-14 20:06:28 | frontend | CPU: 214 % | RAM: 71 MB | RPS: 72.377 | ERROR: 0.0014 | PODS: 1
2026-04-14 20:06:28 | productcatalogservice | CPU: 92 % | RAM: 61 MB | RPS: 409.844 | ERROR: 0 | PODS: 1
2026-04-14 20:06:33 | frontend | CPU: 214 % | RAM: 71 MB | RPS: 69.771 | ERROR: 0.0014 | PODS: 1
2026-04-14 20:06:33 | productcatalogservice | CPU: 92 % | RAM: 61 MB | RPS: 413.573 | ERROR: 0 | PODS: 1
2026-04-14 20:06:38 | frontend | CPU: 214 % | RAM: 71 MB | RPS: 73.538 | ERROR: 0.0015 | PODS: 1
2026-04-14 20:06:38 | productcatalogservice | CPU: 92 % | RAM: 61 MB | RPS: 416.852 | ERROR: 0 | PODS: 1
2026-04-14 20:06:44 | frontend | CPU: 247 % | RAM: 71 MB | RPS: 73.805 | ERROR: 0 | PODS: 1
2026-04-14 20:06:44 | productcatalogservice | CPU: 105 % | RAM: 60 MB | RPS: 420.627 | ERROR: 0 | PODS: 1
2026-04-14 20:06:49 | frontend | CPU: 247 % | RAM: 71 MB | RPS: 69.707 | ERROR: 0 | PODS: 1
2026-04-14 20:06:49 | productcatalogservice | CPU: 105 % | RAM: 60 MB | RPS: 411.825 | ERROR: 0 | PODS: 1
2026-04-14 20:06:54 | frontend | CPU: 224 % | RAM: 71 MB | RPS: 71.688 | ERROR: 0 | PODS: 1
2026-04-14 20:06:54 | productcatalogservice | CPU: 101 % | RAM: 60 MB | RPS: 403.301 | ERROR: 0 | PODS: 1
2026-04-14 20:07:00 | frontend | CPU: 224 % | RAM: 71 MB | RPS: 71.833 | ERROR: 0 | PODS: 1
2026-04-14 20:07:00 | productcatalogservice | CPU: 101 % | RAM: 60 MB | RPS: 404.896 | ERROR: 0 | PODS: 1
2026-04-14 20:07:05 | frontend | CPU: 224 % | RAM: 71 MB | RPS: 73.192 | ERROR: 0 | PODS: 1
2026-04-14 20:07:05 | productcatalogservice | CPU: 101 % | RAM: 60 MB | RPS: 397.790 | ERROR: 0 | PODS: 1
2026-04-14 20:07:10 | frontend | CPU: 255 % | RAM: 71 MB | RPS: 73.171 | ERROR: 0 | PODS: 1
