Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3434,2166,2700.0,2061.254405270829,2.129599997715559,4624.511200003326,3919.0885264997087,2.8601416768975,1.804038110704713,2700,2800,2800,2800,2800,2800,4600,4600,4600,4600,4600
GET,/cart,3351,1946,2700.0,2131.815563145364,2.5913999998010695,4631.191000000399,6356.62757385855,2.791011869331253,1.620802476191769,2700,2800,2800,2800,2800,4600,4600,4600,4600,4600,4600
POST,/cart,6408,3903,3400.0,2944.7603850031855,1.5713000029791147,7338.792099995771,7438.119850187266,5.337154299813389,3.250766734109185,3400,4000,4400,4600,5100,5400,6300,6600,7300,7300,7300
POST,/cart/checkout,1574,675,2500.0,2032.174654256835,6.867900003271643,4627.4584000057075,3921.566709021601,1.3109676760153364,0.5622002422556239,2500,2700,2800,2800,4600,4600,4600,4600,4600,4600,4600
GET,/product/0PUK6V6EV0,2407,1202,2700.0,2059.9383103449436,21.764999997685663,4625.1871999993455,4010.049439135854,2.0047644194211656,1.0011328758389035,2700,2700,2800,2800,2800,4600,4600,4600,4600,4600,4600
GET,/product/1YMWWN1N4O,2584,1297,2700.0,2059.256371168683,1.7137999966507778,4628.979100001743,3998.888931888545,2.1521858162793066,1.080257354378584,2700,2700,2800,2800,4600,4600,4600,4600,4600,4600,4600
GET,/product/2ZYFJ3GM2N,2495,1255,2700.0,2045.6105800399978,21.394199997303076,4626.588200000697,3991.1699398797596,2.078058673226343,1.0452760059715673,2700,2700,2800,2800,2800,4600,4600,4600,4600,4600,4600
GET,/product/66VCHSJNUP,2485,1298,2700.0,2071.0417662776804,1.8966999996337108,4629.905999994662,3819.5247484909455,2.069729780748482,1.08109024362637,2700,2800,2800,2800,2800,4600,4600,4600,4600,4600,4600
GET,/product/6E92ZMYYFZ,2535,1283,2700.0,2046.9700670611153,21.428899999591522,4630.9682999999495,3941.5526627218933,2.1113742431377873,1.0685969049095785,2700,2700,2800,2800,2800,4600,4600,4600,4600,4600,4600
GET,/product/9SIQT8TOJO,2525,1292,2700.0,2077.5683326337057,5.72160000592703,4627.543999995396,3920.573069306931,2.1030453506599263,1.0760929081396533,2700,2700,2800,2800,2800,4600,4600,4600,4600,4600,4600
GET,/product/L9ECAV7KIM,2540,1275,2700.0,2062.4968582283095,2.1647999965352938,4636.356499999238,3985.317322834646,2.115538689376718,1.0619337909272895,2700,2700,2800,2800,4600,4600,4600,4600,4600,4600,4600
GET,/product/LS4PSXUNUM,2430,1286,2700.0,2128.4034606583905,4.392800001369324,4627.560599998105,3766.543209876543,2.0239208721202457,1.0710955726529368,2700,2800,2800,2800,4600,4600,4600,4600,4600,4600,4600
GET,/product/OLJCESPC7Z,2492,1312,2700.0,2108.917221227937,3.459599996858742,4637.618400003703,3803.982343499197,2.0755600054829846,1.0927506930953756,2700,2700,2800,2800,4600,4600,4600,4600,4600,4600,4600
POST,/setCurrency,1607,1020,2900.0,2605.127755320589,2.806700002111029,6979.315500000666,3878.957062850031,1.3384530211922778,0.8495470327418316,2900,3400,3700,3900,4400,4900,5300,5500,6800,7000,7000
,Aggregated,38867,21210,2700.0,2241.181717202286,1.5713000029791147,7338.792099995771,4706.041886433221,32.371906393702716,17.665580945543383,2700,2800,2800,2800,4600,4600,5000,5400,6900,7300,7300
