Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776171888,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776171889,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776171890,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776171891,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776171892,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776171893,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776171894,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776171895,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776171896,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776171897,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776171898,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776171899,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776171900,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776171901,5,,Aggregated,0.000000,0.000000,180,180,180,180,180,180,180,180,180,180,180,10,0,172.82780000095954,178.23189000191633,172.82780000095954,184.9867999990238,9379.2
1776171902,10,,Aggregated,0.000000,0.000000,170,180,190,230,270,370,440,440,440,440,440,28,0,170.0,178.5084321436443,55.634500000451226,438.1901000015205,10006.892857142857
1776171903,15,,Aggregated,0.000000,0.000000,230,330,380,380,540,640,640,640,640,640,640,51,0,230.0,282.908788235777,55.634500000451226,640.8125000016298,9826.803921568628
1776171904,20,,Aggregated,21.000000,0.000000,340,460,540,560,690,840,840,840,840,840,840,70,0,330.0,369.2490114290974,55.634500000451226,840.4251000029035,9936.471428571429
1776171905,25,,Aggregated,19.000000,0.000000,410,560,640,700,830,840,1000,1100,1100,1100,1100,93,0,410.0,449.4784516133731,55.634500000451226,1095.4089000006206,9979.741935483871
1776171906,30,,Aggregated,20.000000,0.000000,520,650,720,800,870,1100,1300,1300,1300,1300,1300,119,0,520.0,528.216140336607,55.634500000451226,1294.1646999970544,9969.98319327731
1776171907,30,,Aggregated,21.250000,0.000000,630,730,830,840,1100,1200,1300,1300,1300,1300,1300,152,0,630.0,599.5975539475885,55.634500000451226,1294.1646999970544,9929.401315789473
1776171908,30,,Aggregated,22.000000,0.000000,670,810,860,920,1100,1200,1300,1300,1300,1300,1300,184,0,670.0,655.0481945654136,55.634500000451226,1294.1646999970544,9849.646739130434
1776171909,30,,Aggregated,23.333333,0.000000,730,840,900,920,1100,1200,1300,1300,1500,1500,1500,209,0,730.0,693.3814468899751,55.634500000451226,1458.728899997368,10059.990430622009
1776171910,30,,Aggregated,23.142857,0.000000,750,860,920,980,1100,1300,1300,1300,1500,1500,1500,242,0,750.0,722.5411119834162,55.634500000451226,1458.728899997368,10142.495867768595
1776171911,30,,Aggregated,24.125000,0.000000,780,870,920,980,1100,1300,1300,1300,1500,1500,1500,275,0,780.0,735.5593687273159,55.634500000451226,1458.728899997368,10173.949090909091
1776171912,30,,Aggregated,24.666667,0.000000,800,870,920,980,1100,1200,1300,1300,1500,1500,1500,305,0,800.0,746.3994973771643,55.634500000451226,1458.728899997368,10121.52131147541
1776171913,30,,Aggregated,25.400000,0.000000,780,870,920,950,1100,1200,1300,1300,1500,1500,1500,336,0,780.0,748.2709133929087,55.634500000451226,1458.728899997368,10116.14880952381
1776171914,30,,Aggregated,26.500000,0.000000,800,870,920,970,1100,1200,1300,1400,1500,1500,1500,362,1,800.0,759.7561646409445,55.634500000451226,1464.427999999316,10190.674033149171
1776171915,30,,Aggregated,28.000000,0.000000,800,890,950,1000,1100,1300,1400,1500,1500,1500,1500,392,1,800.0,779.6024530612436,55.634500000451226,1549.8394000023836,10238.989795918367
1776171916,30,,Aggregated,28.900000,0.000000,800,880,940,1000,1100,1300,1400,1500,1500,1500,1500,432,1,790.0,779.5612162037321,55.634500000451226,1549.8394000023836,10274.819444444445
1776171917,30,,Aggregated,28.800000,0.100000,790,880,930,990,1100,1300,1400,1500,1500,1500,1500,462,1,790.0,780.8329809524122,55.634500000451226,1549.8394000023836,10212.233766233767
