Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8142,0,1200.0,961.9167629574868,23.06990000215592,2498.6891000007745,10577.777573077869,6.781890928882282,0.0,1200,1300,1400,1500,1600,1700,1800,1900,2200,2500,2500
GET,/cart,7815,0,990.0,907.3096723736064,19.999900003313087,2731.567900002119,15798.206142034549,6.50951579577684,0.0,990,1200,1400,1400,1700,1800,2000,2100,2500,2700,2700
POST,/cart,15636,3,1400.0,1207.6018910270952,29.272599997057114,4786.425300000701,19070.34126375032,13.024029300418,0.0024988544321600157,1400,1600,1800,1800,2000,2200,2400,2500,2800,4700,4800
POST,/cart/checkout,3981,21,700.0,603.4849959557465,16.335300002538133,1767.32720000291,6798.780205978397,3.3159798314763407,0.017491981025120108,700,800,850,900,1000,1100,1200,1300,1500,1800,1800
GET,/product/0PUK6V6EV0,6143,0,890.0,727.9687014325168,19.933000003220513,1940.5048999979044,7998.384339899072,5.1168209255863255,0.0,890,1000,1100,1100,1200,1300,1400,1500,1700,1900,1900
GET,/product/1YMWWN1N4O,6201,0,890.0,732.2734069505391,21.062300002085976,1904.2733000023873,8017.406386066764,5.165132111274752,0.0,890,990,1100,1100,1200,1300,1400,1500,1700,1900,1900
GET,/product/2ZYFJ3GM2N,6129,0,900.0,740.0518381954565,21.17790000193054,2021.4102999962051,8015.908304780552,5.105159604902912,0.0,900,1000,1100,1100,1200,1300,1400,1500,1700,2000,2000
GET,/product/66VCHSJNUP,6177,0,890.0,732.8507257568809,20.1225000055274,1922.760900000867,7985.971021531488,5.145141275817472,0.0,890,1000,1100,1100,1200,1300,1400,1500,1700,1900,1900
GET,/product/6E92ZMYYFZ,6181,0,890.0,735.305363420111,20.954400002665352,2032.5778999977047,7972.607345089791,5.148473081727019,0.0,890,1000,1100,1100,1200,1300,1400,1500,1700,2000,2000
GET,/product/9SIQT8TOJO,6017,0,900.0,731.7591137776471,20.617899994249456,1965.217400000256,8024.078278211733,5.011869039435605,0.0,900,1000,1100,1100,1200,1300,1400,1500,1800,2000,2000
GET,/product/L9ECAV7KIM,6200,0,890.0,725.988597080586,21.08569999836618,1905.3920000005746,7988.137096774193,5.164299159797365,0.0,890,990,1100,1100,1200,1300,1400,1500,1700,1900,1900
GET,/product/LS4PSXUNUM,5882,0,900.0,742.867073240344,21.02059999742778,2143.504600004235,7990.654709282557,4.899420589988404,0.0,900,1000,1100,1100,1200,1300,1400,1500,1700,2100,2100
GET,/product/OLJCESPC7Z,6021,0,890.0,729.2127426009273,20.94500000384869,1879.9834999954328,8021.809500083043,5.015200845345151,0.0,890,1000,1100,1100,1200,1300,1400,1500,1700,1900,1900
POST,/setCurrency,3891,0,1300.0,1013.7333681572479,25.966599998355377,2481.3853000014205,10579.702904137754,3.2410141985115404,0.0,1300,1400,1500,1500,1700,1800,1900,2000,2300,2500,2500
,Aggregated,94416,24,940.0,851.9323103456785,16.335300002538133,4786.425300000701,10757.688188442637,78.64394668894,0.019990835457280125,940,1100,1200,1300,1500,1800,2000,2200,2600,2900,4800
