Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8303,0,1100.0,930.6294187883976,22.565499999473104,2367.092500000581,10577.733469830182,6.91755861166444,0.0,1100,1300,1400,1400,1500,1600,1800,1900,2200,2400,2400
GET,/cart,8255,0,960.0,884.5965571532284,19.62190000267583,2744.1892999995616,15996.255966081162,6.8775679078995475,0.0,960,1200,1300,1400,1600,1800,2000,2100,2500,2700,2700
POST,/cart,16062,0,1400.0,1163.288076771257,29.14249999957974,3047.380299998622,19141.909662557588,13.381889247326777,0.0,1400,1600,1700,1800,2000,2200,2300,2400,2800,3000,3000
POST,/cart/checkout,3989,22,660.0,566.249190599096,20.66030000059982,1665.4004999982135,6797.618450739534,3.323394110794827,0.018329072558908546,660,750,820,840,950,1000,1100,1200,1500,1700,1700
GET,/product/0PUK6V6EV0,6307,0,850.0,702.741321436502,19.851099998049904,1924.7404000016104,8001.598224195339,5.254611846774373,0.0,850,960,1000,1100,1200,1300,1400,1400,1600,1900,1900
GET,/product/1YMWWN1N4O,6276,0,850.0,697.1113101497633,19.81049999812967,1819.2918999993708,8022.297960484385,5.228784517259547,0.0,850,960,1000,1100,1200,1300,1400,1400,1700,1800,1800
GET,/product/2ZYFJ3GM2N,6377,0,870.0,712.1935938999868,20.346400000562426,1843.0176000001666,8017.7978673357375,5.312931623098173,0.0,870,970,1000,1100,1200,1300,1400,1400,1700,1800,1800
GET,/product/66VCHSJNUP,6385,0,860.0,708.8203439154037,20.84399999876041,1957.2035999990476,7985.164447924823,5.319596740392321,0.0,860,970,1000,1100,1200,1300,1400,1400,1700,2000,2000
GET,/product/6E92ZMYYFZ,6333,0,860.0,700.2008572714277,20.51740000024438,1803.2345000028727,7976.905258171482,5.2762734779803555,0.0,860,960,1000,1100,1200,1300,1400,1400,1600,1800,1800
GET,/product/9SIQT8TOJO,6270,0,860.0,704.6193462520134,20.43260000209557,1835.0199000014982,8028.365550239235,5.223785679288936,0.0,860,970,1000,1100,1200,1300,1400,1400,1700,1800,1800
GET,/product/L9ECAV7KIM,6144,0,860.0,704.9790544922125,19.961300000431947,1849.624099999346,7993.629557291667,5.118810081906096,0.0,860,970,1000,1100,1200,1300,1400,1400,1600,1800,1800
GET,/product/LS4PSXUNUM,6398,0,860.0,700.8229822288279,20.3531999977713,1904.1730000026291,7990.929665520475,5.330427555995313,0.0,860,960,1000,1100,1200,1300,1400,1400,1800,1900,1900
GET,/product/OLJCESPC7Z,6378,0,850.0,697.8320819535807,20.907800000713905,1759.703100000479,8025.522734399498,5.313764762759941,0.0,850,960,1000,1100,1200,1300,1400,1500,1700,1800,1800
POST,/setCurrency,4026,0,1200.0,1007.9216003974313,26.136999997106614,2546.841700001096,10580.023348236464,3.354220278280264,0.0,1200,1400,1500,1500,1600,1800,1900,2000,2400,2500,2500
,Aggregated,97503,22,900.0,820.7322416541106,19.62190000267583,3047.380299998622,10792.01911736049,81.2336164414209,0.018329072558908546,900,1100,1200,1300,1500,1700,2000,2100,2600,2800,3000
